mu,seed,ordered,fdom_mean,fdom_std
0.345,5,False,0.9151570638020833,0.014229876295298016
0.345,50,False,0.9143351236979167,0.014906410783335534
0.345,51,False,0.9099853515625,0.01774910599288386
0.345,52,False,0.9059326171875,0.02106514981596929
0.345,53,False,0.9035481770833333,0.02297373298806054
0.345,54,False,0.9169677734375,0.012796551928170183
0.345,55,False,0.8980631510416667,0.026767372286119293
0.345,56,False,0.8918355305989584,0.03323916585995403
0.345,57,False,0.9146769205729167,0.015867410679611494
0.345,58,False,0.9056742350260417,0.022215168559076976
0.345,59,False,0.9151814778645834,0.01402259155857755
0.345,6,False,0.9136454264322916,0.014949237070680708
0.345,60,False,0.9050944010416667,0.023038109946333516
0.345,61,False,0.91650390625,0.01332490329182489
0.345,62,False,0.8857625325520834,0.03751875399600232
0.345,63,False,0.8979044596354167,0.0277946932601602
0.345,7,False,0.91009521484375,0.017962906758130174
0.345,8,False,0.914312744140625,0.01475459605274182
0.345,9,False,0.9148885091145833,0.014411068921054785
0.34,0,False,0.922857666015625,0.009409519724565362
0.34,1,False,0.9207845052083333,0.01104472972561446
0.34,10,False,0.9214701334635417,0.010444819434381943
0.34,11,False,0.9147359212239583,0.01439498758591953
0.34,12,False,0.9217753092447917,0.010566388238095116
0.34,13,False,0.92222900390625,0.010396103430522004
0.34,14,False,0.9203104654947917,0.011798549677791351
0.34,15,False,0.9193440755208333,0.011363501867066732
0.34,16,False,0.9104227701822917,0.01850068437413747
0.34,17,False,0.9150004069010417,0.015441456128021717
0.34,18,False,0.9223897298177083,0.01039983283245043
0.34,19,False,0.9135518391927083,0.016588531191716265
0.34,2,False,0.912432861328125,0.01883866453056006
0.34,20,False,0.9203816731770833,0.011172843185715224
0.34,21,False,0.9219014485677083,0.010038538365384809
0.34,22,False,0.9206136067708334,0.010814990323425344
0.34,23,False,0.9231587727864583,0.009209023038788141
0.34,24,False,0.9181294759114583,0.012952982069749788
0.34,25,False,0.9213419596354167,0.011102874090173409
0.34,26,False,0.9190205891927083,0.012653415536521774
0.34,27,False,0.9222005208333334,0.010122950486438544
0.34,28,False,0.9203857421875,0.01167516657024985
0.34,29,False,0.9226318359375,0.009355790272751196
0.34,3,False,0.9196695963541667,0.011189035841822728
0.34,30,False,0.9176167805989583,0.014558035758148336
0.34,31,False,0.9183207194010417,0.011951785826342374
0.34,32,False,0.91761474609375,0.012919845600051995
0.34,33,False,0.923114013671875,0.009066904110478629
0.34,34,False,0.918328857421875,0.013269472977947595
0.34,35,False,0.9181416829427084,0.01377783165175256
0.34,36,False,0.922491455078125,0.009946987256810773
0.34,37,False,0.9212117513020833,0.010738993468490493
0.34,38,False,0.9186625162760417,0.012455424494668946
0.34,39,False,0.9133463541666667,0.016704538649301607
0.34,4,False,0.919110107421875,0.011652655710393839
0.34,40,False,0.9122294108072917,0.018409566269469876
0.34,41,False,0.922332763671875,0.009572584829642825
0.34,42,False,0.9234334309895833,0.008415635314864573
0.34,43,False,0.9231486002604167,0.009234247776567239
0.34,44,False,0.9208353678385417,0.010979380164884579
0.34,45,False,0.922308349609375,0.010243672304749048
0.34,46,False,0.9196634928385417,0.011954206398365717
0.34,47,False,0.9184000651041667,0.011951455946492879
0.34,48,False,0.9203226725260417,0.011035674804086664
0.34,49,False,0.9199259440104167,0.012100106797740968
0.34,5,False,0.9209431966145833,0.010529852108067268
